,time_limit,num_jobs,num_stages,num_sims_long,best_scop,method,seed,num_sims,max_time_per_cp_solve,consider_mean
0,300,20,20,5000,12769.8054,dcop,200,,,
1,300,20,20,5000,2116.732,standard,200,25,,
2,600,20,20,5000,9617.7218,dcop,200,,,
3,600,20,20,5000,2124.3096,standard,200,25,,
4,1800,20,20,5000,13667.596,dcop,200,,,
5,1800,20,20,5000,2116.732,standard,200,25,,
6,300,20,20,5000,3884.079,dcop,120,,,
7,300,20,20,5000,1866.0018,standard,120,25,,
8,600,20,20,5000,3884.079,dcop,120,,,
9,600,20,20,5000,2105.0578,standard,120,25,,
10,1800,20,20,5000,3884.079,dcop,120,,,
11,1800,20,20,5000,2101.464,standard,120,25,,
12,300,20,20,5000,4926.7388,dcop,6,,,
13,300,20,20,5000,4501.654,standard,6,25,,
14,600,20,20,5000,5759.8228,dcop,6,,,
15,600,20,20,5000,3624.674,standard,6,25,,
16,1800,20,20,5000,5759.8228,dcop,6,,,
17,1800,20,20,5000,3096.3976,standard,6,25,,
18,300,20,20,5000,2059.3742,dcop,53,,,
19,300,20,20,5000,1867.7722,standard,53,25,,
20,600,20,20,5000,2059.3742,dcop,53,,,
21,600,20,20,5000,1546.3138,standard,53,25,,
22,1800,20,20,5000,2059.3742,dcop,53,,,
23,1800,20,20,5000,1981.2904,standard,53,25,,
24,300,20,20,5000,1445.1304,dcop,13,,,
25,300,20,20,5000,1332.335,standard,13,25,,
26,600,20,20,5000,1445.1304,dcop,13,,,
27,600,20,20,5000,1495.4444,standard,13,25,,
28,1800,20,20,5000,1445.1304,dcop,13,,,
29,1800,20,20,5000,1495.4444,standard,13,25,,
30,300,20,20,5000,1236.8658,adaptive,200,25,30,1
31,600,20,20,5000,1087.3002,adaptive,200,25,30,1
32,1800,20,20,5000,583.5266,adaptive,200,25,30,1
33,300,20,20,5000,1969.5056,adaptive,120,25,30,1
34,600,20,20,5000,346.9578,adaptive,120,25,30,1
35,1800,20,20,5000,351.5602,adaptive,120,25,30,1
36,300,20,20,5000,1262.0776,adaptive,6,25,30,1
37,600,20,20,5000,1607.6492,adaptive,6,25,30,1
38,1800,20,20,5000,431.3654,adaptive,6,25,30,1
39,300,20,20,5000,313.3392,adaptive,53,25,30,1
40,600,20,20,5000,311.815,adaptive,53,25,30,1
41,1800,20,20,5000,309.8872,adaptive,53,25,30,1
42,300,20,20,5000,615.0496,adaptive,13,25,30,1
43,600,20,20,5000,558.892,adaptive,13,25,30,1
44,1800,20,20,5000,413.864,adaptive,13,25,30,1
