,num_jobs,num_stages,num_sims,max_time_per_cp_solve,time_limit,consider_mean,num_sims_long,method,final_best
0,20,20,25,30,60,1,1000,adaptive,2057.027
1,20,20,50,30,60,1,1000,adaptive,2266.696
2,20,20,100,30,60,1,1000,adaptive,3656.376
3,20,20,25,30,300,1,1000,adaptive,1789.781
4,20,20,50,30,300,1,1000,adaptive,894.255
5,20,20,100,30,300,1,1000,adaptive,2055.542
6,20,20,25,30,600,1,1000,adaptive,904.024
7,20,20,50,30,600,1,1000,adaptive,1089.092
8,20,20,100,30,600,1,1000,adaptive,751.23
9,20,20,25,30,1800,1,1000,adaptive,434.577
10,20,20,50,30,1800,1,1000,adaptive,466.129
11,20,20,100,30,1800,1,1000,adaptive,457.562
12,20,20,25,30,3600,1,1000,adaptive,579.858
13,20,20,50,30,3600,1,1000,adaptive,358.284
14,20,20,100,30,3600,1,1000,adaptive,554.015
15,40,40,25,30,60,1,1000,adaptive,8198.908
16,40,40,50,30,60,1,1000,adaptive,22428.515
17,40,40,100,30,60,1,1000,adaptive,7904.458
18,40,40,25,30,300,1,1000,adaptive,14177.196
19,40,40,50,30,300,1,1000,adaptive,14034.46
20,40,40,100,30,300,1,1000,adaptive,15876.911
21,40,40,25,30,600,1,1000,adaptive,1226.115
22,40,40,50,30,600,1,1000,adaptive,1459.492
23,40,40,100,30,600,1,1000,adaptive,20657.613
