,num_sims,time_limit,num_jobs,num_stages,final_best,method
0,25,60,20,20,15031.285,standard
1,50,60,20,20,16203.386,standard
2,100,60,20,20,76431.597,standard
3,25,300,20,20,13016.772,standard
4,50,300,20,20,14707.012,standard
5,100,300,20,20,15031.285,standard
6,25,600,20,20,12849.335,standard
7,50,600,20,20,13016.772,standard
8,100,600,20,20,14244.187,standard
9,25,1800,20,20,2362.156,standard
10,50,1800,20,20,3778.905,standard
11,100,1800,20,20,13016.772,standard
12,25,3600,20,20,2362.156,standard
13,50,3600,20,20,2362.156,standard
14,100,3600,20,20,6713.959,standard
15,25,60,40,40,428101.465,standard
16,50,60,40,40,428101.465,standard
17,100,60,40,40,428101.465,standard
18,25,300,40,40,104111.169,standard
19,50,300,40,40,109805.028,standard
20,100,300,40,40,428101.465,standard
21,25,600,40,40,103628.459,standard
22,50,600,40,40,104111.169,standard
23,100,600,40,40,109805.028,standard
24,25,1800,40,40,95895.073,standard
25,50,1800,40,40,101029.587,standard
26,100,1800,40,40,103628.459,standard
27,25,3600,40,40,87215.16,standard
28,50,3600,40,40,95213.86,standard
29,100,3600,40,40,101029.587,standard
